address,lat,lon
1485 MYRTLE AVENUE 11237,40.699238,-73.9162796
1401 ROCKAWAY PKWY 11236,40.6458056,-73.90281809999999
25631 UNION TPKE 11004,40.7457279,-73.7145008
195 BROADWAY 10007,40.71109999999999,-74.0093
1701 PITKIN AVENUE 11212,40.6699158,-73.9105112
454 GRAHAM AVE 11211,40.7186807,-73.9449004
350 PARK AVE 10022,40.75833790000001,-73.973889
711 NOSTRAND AVE 11216,40.6729341,-73.9498278
366 UNION AVENUE 11211,40.7113987,-73.9510332
12430 ROCKAWAY BLVD 11420,40.675118,-73.812878
144 DECATUR ST 11233,40.6807646,-73.93736700000001
4502 JUNCTION BOULEVARD 11368,40.7444983,-73.8680431
3717 30TH AVENUE 11103,40.7644588,-73.9157809
2953 WEBSTER AVENUE 10458,40.8677423,-73.883476
1100 MADISON AVENUE 10028,40.7787515,-73.960608
226 E 51ST ST 10022,40.7558401,-73.9693696
147 BLEECKER STREET 10012,40.728369,-73.9991763
1703 MCDONALD AVE 11230,40.6110608,-73.9730395
552 WEST  235 STREET 10463,40.8854948,-73.90969969999999
2178 BROADWAY 10024,40.7822187,-73.9805895
13901 GRAND CENTRAL PKWY 11435,40.716991,-73.8186
707 NOSTRAND AVE 11216,40.6730349,-73.9500493
6418 108TH ST 11375,40.73234799999999,-73.8498319
536 CITY ISLAND AVE 10464,40.853108,-73.789508
163 MONTROSE AVE 11206,40.7075789,-73.9427099
287 AVENUE U 11223,40.5970841,-73.9736594
501 W 214TH ST 10034,40.8691199,-73.91589259999999
60 EAST   65 STREET 10065,40.7667738,-73.96760220000002
6002 WOODSIDE AVENUE 11377,40.7449326,-73.90434259999999
2461 FREDERICK DOUGLASS BLVD 10027,40.8146388,-73.94831239999999
22 EAST   66 STREET 10065,40.76796299999999,-73.9687808
2248 1ST AVE 10029,40.7955542,-73.9353162
930 3 AVENUE 10022,40.7595392,-73.9683561
2549 BROADWAY 10025,40.79443759999999,-73.97246559999999
8915 165 STREET 11432,40.7071607,-73.7957248
4121 NATIONAL ST 11368,40.748091,-73.86314720000001
7002 34 AVENUE 11372,40.752156,-73.8958229
348 WYTHE AVE 11249,40.7141273,-73.96533699999999
4102 AVENUE D 11203,40.6413433,-73.9377961
24505 JERICHO TPKE 11426,40.7249095,-73.7227237
141 W 41ST ST 10036,40.75491969999999,-73.98596429999999
300 WEST   44 STREET 10036,40.758564,-73.98975209999999
14921A 41 AVENUE 11355,40.7575119,-73.8291496
10910 LIBERTY AVENUE 11419,40.6839898,-73.8324571
832 WESTCHESTER AVENUE 10455,40.8191762,-73.90220459999999
433 BROOME STREET 10013,40.7213556,-73.9994621
817 METROPOLITAN AVENUE 11211,40.7148752,-73.94160780000001
82 BERRY STREET 11249,40.7197492,-73.9580952
53 W 35TH ST 10001,40.7502753,-73.9863542
7109 13 AVENUE 11228,40.6222251,-74.0050515
119 WEST KINGSBRIDGE ROAD 10468,40.8688155,-73.9018425
17 PUTNAM AVENUE 11238,40.6828093,-73.962008
1731 WEBSTER AVE 10457,40.8438828,-73.9033961
4009 JUNCTION BLVD 11368,40.74887260000001,-73.8689812
420 5TH AVE 10018,40.7508135,-73.9833361
9206 ROCKAWAY BEACH BLVD 11693,40.586386,-73.815949
520 8 AVENUE 10018,40.753615,-73.9920415
17 W 125TH ST 10027,40.8069663,-73.9431103
419 KINGSTON AVE 11225,40.6645883,-73.9424243
116 MACDOUGAL ST 10012,40.7296853,-74.0004721
922 7 AVENUE 10019,40.7663869,-73.97964809999999
201 CENTRAL AVE 11221,40.6979634,-73.9246974
22318 S CONDUIT AVE 11413,40.665348,-73.7541347
